"Photo_parameter","Group","n","mean","sd","min","q25","median","q75","max"
"AQY","Dark",8,0.190013545837354,0.0733138098305221,0.0679029168303748,0.142107679001882,0.204534588328756,0.221536932101849,0.307942002541703
"AQY","Light",11,0.136624283842198,0.0240958574322695,0.0986143115546302,0.122574098063647,0.139077573032331,0.147590383556303,0.184118291883532
"Am","Dark",8,18.0790369971388,12.6512461475683,5.98163280318466,8.60493834597333,14.8338848036749,21.6898335812889,40.5690075621483
"Am","Light",11,21.5220862058974,12.7587904134509,6.48288440203671,11.3566489619842,17.7312387711855,30.647165192829,47.0819454462712
"Ik","Dark",8,104.384224210313,61.3853304981241,24.820228260908,41.2207354164735,123.494197132807,137.909144342517,188.649353508309
"Ik","Light",11,153.421340239733,77.3773472730221,56.9885193254898,81.3046325210734,143.221402186547,210.515945013034,267.871382071536
"Rd","Dark",8,-0.0306873314643343,0.253089905043666,-0.4276662271526,-0.194160108184279,0.0474556137990931,0.124389082874399,0.251554012389022
"Rd","Light",11,-0.165472685198781,0.261277958552599,-0.670135949726572,-0.263909405422702,-0.0853604232877464,0.0121669614739272,0.136145009320897
